Discrete Queue Name,ProducerName,ConsumerName,Primary App_Full_Name,PrimaryAppDisp,PrimaryAppRole,Primary Application Id,q_type,Primary Neighborhood,Primary Hosting Type,Primary Data classification,Primary Enterprise Critical Payment Application,Primary PCI,Primary Publicly Accessible,Primary TRTC,queue_manager_name,app_id,line_of_business,cluster_name,cluster_namelist,def_persistence,def_put_response,inhibit_get,inhibit_put,remote_q_mgr_name,remote_q_name,usage,xmit_q_name,Neighborhood
ABNP.9BRX.ERR,Saturn Compliance Monitor,PP Arcne VMU,Saturn Compliance Monitor,Private PaaS,Producer,ABNP,Remote,Public Cloud,Internal,Internal Use,No,Yes,No,00= 0-30 Minutes,WL6EX2A,ABNP,TECHSEC,TECHRISK,TECHRISK,Yes,Synchronous,Enabled,Enabled,WSR2D,ABNP.9BRX.ERR.WSR2,0,ABNP.WSR2D,Public Cloud
ABNP.9BRX.ERR,Saturn Compliance Monitor,PP Arcne VMU,PP Arcne VMU,"Private IaaS, Private PaaS",Consumer,9BRX,Remote,Mainframe,External,Confidential,No,No,No,03= 4:01 to 11:59 Hours,WSR2D,9BRX,TECHFIN,TECHRISK,TECHRISK,Yes,Synchronous,0,Enabled,WSR2D,ABNP.9BRX.ERR.WSR2,0,ABNP.WSR2D,Mainframe
TTFK.UVFK.ALERT,Krypton Payment Gateway,Pluto Fraud Detection,Krypton Payment Gateway,Public Cloud,Producer,TTFK,Remote,Private IaaS,External,Internal Use,Yes,No,No,01= 30 Minutes to 2 Hours,WRR2F,TTFK,TECHOPS,TECHRISK,TECHRISK,Yes,Asynchronous,0,Enabled,WL6EX2C,TTFK.UVFK.ALERT.WL6E,0,TTFK.WL6EX2C,Private IaaS
TTFK.UVFK.ALERT,Krypton Payment Gateway,Pluto Fraud Detection,Pluto Fraud Detection,"Private IaaS, Private PaaS",Consumer,UVFK,Remote,Public Cloud,External,Public,Yes,No,No,01= 30 Minutes to 2 Hours,WL6EX2C,UVFK,TECHFIN,TECHRISK,TECHRISK,Yes,Asynchronous,Enabled,0,WL6EX2C,TTFK.UVFK.ALERT.WL6E,Normal,TTFK.WL6EX2C,Public Cloud
UVLT.RRDV.STAT,Sirius Notification Hub,Antares Settlement Bus,Sirius Notification Hub,"Private IaaS, Private PaaS",Producer,UVLT,Remote,Private PaaS,External,Confidential,Yes,No,No,03= 4:01 to 11:59 Hours,WSX2C,UVLT,TECHOPS,TECHPAY,TECHPAY,No,Asynchronous,0,Enabled,WS26,UVLT.RRDV.STAT.WS26,0,UVLT.WS26,Private PaaS
UVLT.RRDV.STAT,Sirius Notification Hub,Antares Settlement Bus,Antares Settlement Bus,"Full App Retire, Mainframe",Consumer,RRDV,Remote,Mainframe,Internal,Restricted,No,No,No,00= 0-30 Minutes,WS26,RRDV,TECHFIN,TECHPAY,TECHPAY,No,Asynchronous,Enabled,0,WS26,UVLT.RRDV.STAT.WS26,Normal,UVLT.WS26,Mainframe
EFFK.YZRX.RPT,Rigel Batch Processor,Canopus Trade Capture,Rigel Batch Processor,"Private IaaS, Private PaaS",Producer,EFFK,Remote,Public Cloud,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WL6ER2F,EFFK,TECHCT,TECHRISK,TECHRISK,Yes,Asynchronous,0,0,WL6FR2D,EFFK.YZRX.RPT.WL6F,Normal,EFFK.WL6FR2D,Public Cloud
EFFK.YZRX.RPT,Rigel Batch Processor,Canopus Trade Capture,Canopus Trade Capture,"Full App Retire, Mainframe",Consumer,YZRX,Remote,Mainframe,External,Restricted,Yes,No,No,02= 2 Hours to 4 Hours,WL6FR2D,YZRX,TECHSEC,TECHRISK,TECHRISK,Yes,Asynchronous,Enabled,0,WL6FR2D,EFFK.YZRX.RPT.WL6F,Normal,EFFK.WL6FR2D,Mainframe
EFNP.PPRX.SYNC,Betelgeuse Event Streamer,Mars Portfolio Tracker,Betelgeuse Event Streamer,"Full App Retire, Mainframe",Producer,EFNP,Remote,Private IaaS,External,Internal Use,No,No,No,05= 1 to 3 Days,WQR2C,EFNP,TECHFIN,TECHRISK,TECHRISK,Yes,Asynchronous,0,0,WR29,EFNP.PPRX.SYNC.WR29,0,EFNP.WR29,Private IaaS
EFNP.PPRX.SYNC,Betelgeuse Event Streamer,Mars Portfolio Tracker,Mars Portfolio Tracker,Private PaaS,Consumer,PPRX,Remote,Public Cloud,External,Internal Use,No,No,No,00= 0-30 Minutes,WR29,PPRX,TECHFIN,TECHRISK,TECHRISK,Yes,Asynchronous,0,Enabled,WR29,EFNP.PPRX.SYNC.WR29,Normal,EFNP.WR29,Public Cloud
ABSM.CDNP.CTRL,Hdc - Hdxknvlr Kavk & Hncvympqf,Vega Authentication Service,Hdc - Hdxknvlr Kavk & Hncvympqf,Private PaaS,Producer,ABSM,Remote,Public Cloud,Internal,Internal Use,Yes,No,No,02= 2 Hours to 4 Hours,WQ27,ABSM,TECHSEC,TECHFIN,TECHFIN,Yes,Synchronous,0,Enabled,WRX2B,ABSM.CDNP.CTRL.WRX2,0,ABSM.WRX2B,Public Cloud
ABSM.CDNP.CTRL,Hdc - Hdxknvlr Kavk & Hncvympqf,Vega Authentication Service,Vega Authentication Service,Private PaaS,Consumer,CDNP,Remote,Public Cloud,Internal,Internal Use,No,No,No,02= 2 Hours to 4 Hours,WRX2B,CDNP,TECHRISK,TECHFIN,TECHFIN,Yes,Synchronous,0,0,WRX2B,ABSM.CDNP.CTRL.WRX2,0,ABSM.WRX2B,Public Cloud
9AFK.CD.CTRL,Procyon API Gateway,Jupiter Order Management,Procyon API Gateway,"Private IaaS, Private PaaS",Producer,9AFK,Remote,Private IaaS,External,Public,Yes,Yes,No,04= 12 to 24 Hours,WL6EX2C,9AFK,TECHSEC,TECHCORE,TECHCORE,No,Asynchronous,Enabled,Enabled,WL6GX2C,9AFK.CD.CTRL.WL6G,0,9AFK.WL6GX2C,Private IaaS
9AFK.CD.CTRL,Procyon API Gateway,Jupiter Order Management,Jupiter Order Management,Public Cloud,Consumer,CD,Remote,Mainframe,Internal,Restricted,No,Yes,No,02= 2 Hours to 4 Hours,WL6GX2C,CD,TECHFIN,TECHCORE,TECHCORE,No,Asynchronous,Enabled,0,WL6GX2C,9AFK.CD.CTRL.WL6G,Normal,9AFK.WL6GX2C,Mainframe
SS.WXLT.ERR,Regulus Position Keeper,Arcturus Cache Service,Regulus Position Keeper,Private IaaS,Producer,SS,Remote,Mainframe,External,Confidential,Yes,No,No,05= 1 to 3 Days,WRX2A,SS,TECHCT,TECHSEC,TECHSEC,Yes,Asynchronous,0,Enabled,WL6GR2D,SS.WXLT.ERR.WL6G,Normal,SS.WL6GR2D,Mainframe
SS.WXLT.ERR,Regulus Position Keeper,Arcturus Cache Service,Arcturus Cache Service,"Full App Retire, Mainframe",Consumer,WXLT,Remote,Private PaaS,External,Confidential,No,No,No,01= 30 Minutes to 2 Hours,WL6GR2D,WXLT,TECHCT,TECHSEC,TECHSEC,Yes,Asynchronous,Enabled,0,WL6GR2D,SS.WXLT.ERR.WL6G,0,SS.WL6GR2D,Private PaaS
QQDV.EFFK.ERR,Deneb Message Router,Rigel Batch Processor,Deneb Message Router,"Private IaaS, Private PaaS",Producer,QQDV,Remote,Private IaaS,External,Internal Use,No,No,Yes,05= 1 to 3 Days,WSR2D,QQDV,TECHFIN,TECHCCIBT,TECHCCIBT,Yes,Asynchronous,Enabled,0,WL6ER2F,QQDV.EFFK.ERR.WL6E,Normal,QQDV.WL6ER2F,Private IaaS
QQDV.EFFK.ERR,Deneb Message Router,Rigel Batch Processor,Rigel Batch Processor,"Private IaaS, Private PaaS",Consumer,EFFK,Remote,Public Cloud,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WL6ER2F,EFFK,TECHCT,TECHCCIBT,TECHCCIBT,Yes,Asynchronous,0,Enabled,WL6ER2F,QQDV.EFFK.ERR.WL6E,Normal,QQDV.WL6ER2F,Public Cloud
TTFK.8CDV.RQST,Krypton Payment Gateway,Capella Audit Logger,Krypton Payment Gateway,Public Cloud,Producer,TTFK,Remote,Private IaaS,External,Internal Use,Yes,No,No,01= 30 Minutes to 2 Hours,WRR2F,TTFK,TECHOPS,TECHCORE,TECHCORE,Yes,Asynchronous,0,0,WL6E26,TTFK.8CDV.RQST.WL6E,0,TTFK.WL6E26,Private IaaS
TTFK.8CDV.RQST,Krypton Payment Gateway,Capella Audit Logger,Capella Audit Logger,Private PaaS,Consumer,8CDV,Remote,Mainframe,Internal,Internal Use,Yes,No,Yes,05= 1 to 3 Days,WL6E26,8CDV,TECHCCIBT,TECHCORE,TECHCORE,Yes,Asynchronous,0,Enabled,WL6E26,TTFK.8CDV.RQST.WL6E,Normal,TTFK.WL6E26,Mainframe
TTRX.TTLT.STAT,Saturn Compliance Monitor,Neptune Risk Analytics,Saturn Compliance Monitor,Mainframe,Producer,TTRX,Remote,Private PaaS,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WL6GX2C,TTRX,TECHCT,TECHFIN,TECHFIN,No,Asynchronous,Enabled,Enabled,WL6ER2F,TTRX.TTLT.STAT.WL6E,Normal,TTRX.WL6ER2F,Private PaaS
TTRX.TTLT.STAT,Saturn Compliance Monitor,Neptune Risk Analytics,Neptune Risk Analytics,Private IaaS,Consumer,TTLT,Remote,Private IaaS,External,Public,No,No,Yes,04= 12 to 24 Hours,WL6ER2F,TTLT,TECHCCIBT,TECHFIN,TECHFIN,No,Asynchronous,Enabled,0,WL6ER2F,TTRX.TTLT.STAT.WL6E,Normal,TTRX.WL6ER2F,Private IaaS
8BFK.QQ.RESP,Jupiter Order Management,Orion Data Warehouse,Jupiter Order Management,Private PaaS,Producer,8BFK,Remote,Private IaaS,External,Public,No,No,No,00= 0-30 Minutes,WSR2C,8BFK,TECHCCIBT,TECHPAY,TECHPAY,No,Asynchronous,0,Enabled,WL6ER2A,8BFK.QQ.RESP.WL6E,0,8BFK.WL6ER2A,Private IaaS
8BFK.QQ.RESP,Jupiter Order Management,Orion Data Warehouse,Orion Data Warehouse,Private PaaS,Consumer,QQ,Remote,Private IaaS,Internal,Internal Use,No,Yes,Yes,01= 30 Minutes to 2 Hours,WL6ER2A,QQ,TECHOPS,TECHPAY,TECHPAY,No,Asynchronous,0,Enabled,WL6ER2A,8BFK.QQ.RESP.WL6E,Normal,8BFK.WL6ER2A,Private IaaS
WXNP.YZDV.CTRL,Aldebaran Rate Engine,Achernar Limit Monitor,Aldebaran Rate Engine,"Private IaaS, Private PaaS",Producer,WXNP,Remote,Private IaaS,External,Confidential,Yes,No,No,04= 12 to 24 Hours,WSX2B,WXNP,TECHCT,TECHPAY,TECHPAY,Yes,Synchronous,Enabled,Enabled,WRR2D,WXNP.YZDV.CTRL.WRR2,Normal,WXNP.WRR2D,Private IaaS
WXNP.YZDV.CTRL,Aldebaran Rate Engine,Achernar Limit Monitor,Achernar Limit Monitor,Public Cloud,Consumer,YZDV,Remote,Public Cloud,Internal,Internal Use,No,No,No,02= 2 Hours to 4 Hours,WRR2D,YZDV,TECHOPS,TECHPAY,TECHPAY,Yes,Synchronous,0,0,WRR2D,WXNP.YZDV.CTRL.WRR2,Normal,WXNP.WRR2D,Public Cloud
TTSM.QQRX.RQST,Mercury Trade Settlement,Rigel Batch Processor,Mercury Trade Settlement,"Full App Retire, Mainframe",Producer,TTSM,Remote,Public Cloud,External,Confidential,No,No,No,03= 4:01 to 11:59 Hours,WL6ER2A,TTSM,TECHCCIBT,TECHRISK,TECHRISK,No,Synchronous,0,Enabled,WRX2D,TTSM.QQRX.RQST.WRX2,Normal,TTSM.WRX2D,Public Cloud
TTSM.QQRX.RQST,Mercury Trade Settlement,Rigel Batch Processor,Rigel Batch Processor,Private IaaS,Consumer,QQRX,Remote,Public Cloud,External,Restricted,No,No,No,02= 2 Hours to 4 Hours,WRX2D,QQRX,TECHCCIBT,TECHRISK,TECHRISK,No,Synchronous,0,0,WRX2D,TTSM.QQRX.RQST.WRX2,0,TTSM.WRX2D,Public Cloud
8CDV.8BSM.ERR,Capella Audit Logger,Mars Portfolio Tracker,Capella Audit Logger,Private PaaS,Producer,8CDV,Remote,Mainframe,Internal,Internal Use,Yes,No,Yes,05= 1 to 3 Days,WL6E26,8CDV,TECHCCIBT,TECHCCIBT,TECHCCIBT,Yes,Asynchronous,0,Enabled,WL6FR2D,8CDV.8BSM.ERR.WL6F,0,8CDV.WL6FR2D,Mainframe
8CDV.8BSM.ERR,Capella Audit Logger,Mars Portfolio Tracker,Mars Portfolio Tracker,Private PaaS,Consumer,8BSM,Remote,Mainframe,External,Confidential,No,No,No,00= 0-30 Minutes,WL6FR2D,8BSM,TECHCT,TECHCCIBT,TECHCCIBT,Yes,Asynchronous,0,0,WL6FR2D,8CDV.8BSM.ERR.WL6F,0,8CDV.WL6FR2D,Mainframe
ABFK.SS.RQST,PP Arcne VMU,Regulus Position Keeper,PP Arcne VMU,Public Cloud,Producer,ABFK,Remote,Private IaaS,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WR29,ABFK,TECHSEC,TECHPAY,TECHPAY,No,Synchronous,Enabled,Enabled,WRX2A,ABFK.SS.RQST.WRX2,Normal,ABFK.WRX2A,Private IaaS
ABFK.SS.RQST,PP Arcne VMU,Regulus Position Keeper,Regulus Position Keeper,Private IaaS,Consumer,SS,Remote,Mainframe,External,Confidential,Yes,No,No,05= 1 to 3 Days,WRX2A,SS,TECHCT,TECHPAY,TECHPAY,No,Synchronous,0,0,WRX2A,ABFK.SS.RQST.WRX2,Normal,ABFK.WRX2A,Mainframe
CDDV.CDSM.EVT,Sirius Notification Hub,Venus Client Onboarding,Sirius Notification Hub,"Private IaaS, Private PaaS",Producer,CDDV,Remote,Private PaaS,Internal,Internal Use,Yes,No,No,04= 12 to 24 Hours,WL6F27,CDDV,TECHRISK,TECHOPS,TECHOPS,No,Asynchronous,Enabled,Enabled,WL6GX2C,CDDV.CDSM.EVT.WL6G,Normal,CDDV.WL6GX2C,Private PaaS
CDDV.CDSM.EVT,Sirius Notification Hub,Venus Client Onboarding,Venus Client Onboarding,"Full App Retire, Mainframe",Consumer,CDSM,Remote,Mainframe,Internal,Public,No,Yes,No,00= 0-30 Minutes,WL6GX2C,CDSM,TECHRISK,TECHOPS,TECHOPS,No,Asynchronous,Enabled,0,WL6GX2C,CDDV.CDSM.EVT.WL6G,0,CDDV.WL6GX2C,Mainframe
CDRX.WX.ACK,Orion Data Warehouse,Deneb Message Router,Orion Data Warehouse,Private IaaS,Producer,CDRX,Remote,Private IaaS,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WQR2C,CDRX,TECHSEC,TECHSEC,TECHSEC,Yes,Asynchronous,Enabled,0,WQX2C,CDRX.WX.ACK.WQX2,0,CDRX.WQX2C,Private IaaS
CDRX.WX.ACK,Orion Data Warehouse,Deneb Message Router,Deneb Message Router,Private IaaS,Consumer,WX,Remote,Mainframe,Internal,Internal Use,No,No,Yes,01= 30 Minutes to 2 Hours,WQX2C,WX,TECHCCIBT,TECHSEC,TECHSEC,Yes,Asynchronous,Enabled,0,WQX2C,CDRX.WX.ACK.WQX2,0,CDRX.WQX2C,Mainframe
9BNP.SSFK.RPT,Krypton Payment Gateway,Fomalhaut Market Data,Krypton Payment Gateway,Private IaaS,Producer,9BNP,Local,Private IaaS,External,Public,Yes,Yes,No,01= 30 Minutes to 2 Hours,WL6E27,9BNP,TECHSEC,TECHFIN,TECHFIN,No,Synchronous,0,Enabled,,,Normal,,Private IaaS
9BNP.SSFK.RPT,Krypton Payment Gateway,Fomalhaut Market Data,Fomalhaut Market Data,"Private IaaS, Private PaaS",Consumer,SSFK,Local,Mainframe,Internal,Internal Use,No,Yes,No,01= 30 Minutes to 2 Hours,WL6E27,SSFK,TECHCCIBT,TECHFIN,TECHFIN,No,Synchronous,0,Enabled,,,0,,Mainframe
RRFK.TTFK.NTFY,Arcturus Cache Service,Krypton Payment Gateway,Arcturus Cache Service,Public Cloud,Producer,RRFK,Remote,Mainframe,Internal,Restricted,No,No,Yes,04= 12 to 24 Hours,WRX2D,RRFK,TECHOPS,TECHOPS,TECHOPS,No,Synchronous,Enabled,0,WRR2F,RRFK.TTFK.NTFY.WRR2,0,RRFK.WRR2F,Mainframe
RRFK.TTFK.NTFY,Arcturus Cache Service,Krypton Payment Gateway,Krypton Payment Gateway,Public Cloud,Consumer,TTFK,Remote,Private IaaS,External,Internal Use,Yes,No,No,01= 30 Minutes to 2 Hours,WRR2F,TTFK,TECHOPS,TECHOPS,TECHOPS,No,Synchronous,Enabled,0,WRR2F,RRFK.TTFK.NTFY.WRR2,Normal,RRFK.WRR2F,Private IaaS
CDLT.8CRX.ACK,Pluto Fraud Detection,Polaris Config Manager,Pluto Fraud Detection,"Private IaaS, Private PaaS",Producer,CDLT,Remote,Mainframe,External,Internal Use,No,Yes,Yes,02= 2 Hours to 4 Hours,WL6FX2C,CDLT,TECHCT,TECHCT,TECHCT,No,Asynchronous,0,Enabled,WSX2B,CDLT.8CRX.ACK.WSX2,Normal,CDLT.WSX2B,Mainframe
CDLT.8CRX.ACK,Pluto Fraud Detection,Polaris Config Manager,Polaris Config Manager,"Full App Retire, Mainframe",Consumer,8CRX,Remote,Mainframe,External,Confidential,Yes,No,No,04= 12 to 24 Hours,WSX2B,8CRX,TECHSEC,TECHCT,TECHCT,No,Asynchronous,0,0,WSX2B,CDLT.8CRX.ACK.WSX2,0,CDLT.WSX2B,Mainframe
9BRX.9ANP.ALERT,PP Arcne VMU,Fomalhaut Market Data,PP Arcne VMU,"Private IaaS, Private PaaS",Producer,9BRX,Remote,Mainframe,External,Confidential,No,No,No,03= 4:01 to 11:59 Hours,WSR2D,9BRX,TECHFIN,TECHFIN,TECHFIN,No,Synchronous,Enabled,0,WL6E27,9BRX.9ANP.ALERT.WL6E,Normal,9BRX.WL6E27,Mainframe
9BRX.9ANP.ALERT,PP Arcne VMU,Fomalhaut Market Data,Fomalhaut Market Data,Public Cloud,Consumer,9ANP,Remote,Private IaaS,Internal,Confidential,No,No,No,01= 30 Minutes to 2 Hours,WL6E27,9ANP,TECHRISK,TECHFIN,TECHFIN,No,Synchronous,0,0,WL6E27,9BRX.9ANP.ALERT.WL6E,0,9BRX.WL6E27,Private IaaS
RRRX.WXRX.BATCH,Aldebaran Rate Engine,Betelgeuse Event Streamer,Aldebaran Rate Engine,Private IaaS,Producer,RRRX,Remote,Public Cloud,Internal,Restricted,No,No,No,00= 0-30 Minutes,WL6E28,RRRX,TECHOPS,TECHCORE,TECHCORE,Yes,Synchronous,Enabled,0,WRX2A,RRRX.WXRX.BATCH.WRX2,0,RRRX.WRX2A,Public Cloud
RRRX.WXRX.BATCH,Aldebaran Rate Engine,Betelgeuse Event Streamer,Betelgeuse Event Streamer,Mainframe,Consumer,WXRX,Remote,Private PaaS,External,Public,No,Yes,No,05= 1 to 3 Days,WRX2A,WXRX,TECHFIN,TECHCORE,TECHCORE,Yes,Synchronous,0,Enabled,WRX2A,RRRX.WXRX.BATCH.WRX2,Normal,RRRX.WRX2A,Private PaaS
8A.WXFK.NTFY,DFCeth - HUVY MIPKNVL ZYU,Polaris Config Manager,DFCeth - HUVY MIPKNVL ZYU,Private PaaS,Producer,8A,Remote,Private PaaS,External,Restricted,No,No,No,01= 30 Minutes to 2 Hours,WL6ER2F,8A,TECHSEC,TECHOPS,TECHOPS,No,Synchronous,0,Enabled,WSX2B,8A.WXFK.NTFY.WSX2,0,8A.WSX2B,Private PaaS
8A.WXFK.NTFY,DFCeth - HUVY MIPKNVL ZYU,Polaris Config Manager,Polaris Config Manager,Private PaaS,Consumer,WXFK,Remote,Mainframe,Internal,Confidential,No,No,No,03= 4:01 to 11:59 Hours,WSX2B,WXFK,TECHFIN,TECHOPS,TECHOPS,No,Synchronous,0,Enabled,WSX2B,8A.WXFK.NTFY.WSX2,Normal,8A.WSX2B,Mainframe
8ADV.WXRX.CMD,Mercury Trade Settlement,Betelgeuse Event Streamer,Mercury Trade Settlement,"Full App Retire, Mainframe",Producer,8ADV,Remote,Mainframe,External,Restricted,Yes,Yes,No,02= 2 Hours to 4 Hours,WQ27,8ADV,TECHCCIBT,TECHRISK,TECHRISK,No,Synchronous,Enabled,0,WRX2A,8ADV.WXRX.CMD.WRX2,Normal,8ADV.WRX2A,Mainframe
8ADV.WXRX.CMD,Mercury Trade Settlement,Betelgeuse Event Streamer,Betelgeuse Event Streamer,Mainframe,Consumer,WXRX,Remote,Private PaaS,External,Public,No,Yes,No,05= 1 to 3 Days,WRX2A,WXRX,TECHFIN,TECHRISK,TECHRISK,No,Synchronous,0,0,WRX2A,8ADV.WXRX.CMD.WRX2,Normal,8ADV.WRX2A,Private PaaS
8CLT.8ADV.NTFY,Deneb Message Router,Mercury Trade Settlement,Deneb Message Router,Public Cloud,Producer,8CLT,Remote,Private IaaS,External,Restricted,No,No,No,01= 30 Minutes to 2 Hours,WL6F27,8CLT,TECHCT,TECHRISK,TECHRISK,Yes,Asynchronous,Enabled,0,WQ27,8CLT.8ADV.NTFY.WQ27,0,8CLT.WQ27,Private IaaS
8CLT.8ADV.NTFY,Deneb Message Router,Mercury Trade Settlement,Mercury Trade Settlement,"Full App Retire, Mainframe",Consumer,8ADV,Remote,Mainframe,External,Restricted,Yes,Yes,No,02= 2 Hours to 4 Hours,WQ27,8ADV,TECHCCIBT,TECHRISK,TECHRISK,Yes,Asynchronous,0,Enabled,WQ27,8CLT.8ADV.NTFY.WQ27,0,8CLT.WQ27,Mainframe
PPSM.9ARX.RQST,Saturn Compliance Monitor,Spica Reconciliation,Saturn Compliance Monitor,"Private IaaS, Private PaaS",Producer,PPSM,Remote,Private PaaS,External,Restricted,Yes,No,No,02= 2 Hours to 4 Hours,WL6E30,PPSM,TECHRISK,TECHOPS,TECHOPS,Yes,Asynchronous,Enabled,Enabled,WL6F31,PPSM.9ARX.RQST.WL6F,Normal,PPSM.WL6F31,Private PaaS
PPSM.9ARX.RQST,Saturn Compliance Monitor,Spica Reconciliation,Spica Reconciliation,Private PaaS,Consumer,9ARX,Remote,Private IaaS,Internal,Confidential,No,No,No,04= 12 to 24 Hours,WL6F31,9ARX,TECHCCIBT,TECHOPS,TECHOPS,Yes,Asynchronous,Enabled,0,WL6F31,PPSM.9ARX.RQST.WL6F,0,PPSM.WL6F31,Private IaaS
PPFK.QQLT.ALERT,Neptune Risk Analytics,Altair Reporting Engine,Neptune Risk Analytics,Mainframe,Producer,PPFK,Remote,Public Cloud,Internal,Public,Yes,No,Yes,04= 12 to 24 Hours,WL6FX2C,PPFK,TECHSEC,TECHCT,TECHCT,No,Asynchronous,0,Enabled,WQR2C,PPFK.QQLT.ALERT.WQR2,Normal,PPFK.WQR2C,Public Cloud
PPFK.QQLT.ALERT,Neptune Risk Analytics,Altair Reporting Engine,Altair Reporting Engine,"Full App Retire, Mainframe",Consumer,QQLT,Remote,Private PaaS,Internal,Restricted,No,No,No,04= 12 to 24 Hours,WQR2C,QQLT,TECHSEC,TECHCT,TECHCT,No,Asynchronous,Enabled,Enabled,WQR2C,PPFK.QQLT.ALERT.WQR2,Normal,PPFK.WQR2C,Private PaaS
